Year,Fossil_fuel_combustion_carbon_dioxide,Fossil_fuel_combustion_other_greenhouse_gases,Incineration_of_waste,Other_electricity_generation_categories,Total
1990,1819.950589,20.93235949,8.407135333,26.3035745,1875.593659
1991,1817.358684,20.8961398,8.339354075,25.02835145,1871.62253
1992,1830.687959,21.05262903,9.917916486,24.9354656,1886.593971
1993,1906.172074,21.94929362,10.16698526,24.06661771,1962.35497
1994,1930.468474,22.39027327,11.27001656,23.02323506,1987.151999
1995,1947.173238,22.58873506,11.70390817,22.40683415,2003.872715
1996,2020.242971,23.18558955,12.30358993,21.12256551,2076.854716
1997,2087.519803,23.74409541,12.26205989,19.49664396,2143.022602
1998,2176.554625,24.48448251,11.19839263,17.32532136,2229.562822
1999,2189.665823,24.54775622,11.36259167,18.04182976,2243.618
2000,2296.030775,25.92715343,11.49482627,15.70470298,2349.157457
2001,2257.085008,25.79333178,11.78245814,15.00458277,2309.66538
2002,2272.138414,27.13429923,12.21176717,14.057398,2325.541878
2003,2303.560467,28.34743985,12.48471107,12.42976049,2356.822378
2004,2334.99299,29.55602108,12.76191808,12.56791223,2389.878841
2005,2399.973541,30.92847192,12.85570671,12.17220003,2455.92992
2006,2344.35248,30.71495101,12.91542909,11.32679277,2399.309653
2007,2411.111315,31.22223974,13.10250052,10.56564763,2466.001703
2008,2359.310818,30.95260662,12.23689472,9.692360582,2412.19268
2009,2145.330594,28.81692772,11.64674199,10.23921272,2196.033477
2010,2258.618541,31.10553713,11.37562214,11.01806645,2312.117767
2011,2158.055471,29.86717136,10.84384796,11.04810405,2209.814594
2012,2023.246205,27.62242542,10.67320358,9.385663917,2070.927498
2013,2038.257935,29.65592157,10.64977094,10.3225543,2088.886182
2014,2037.14777,29.94135158,10.74416975,11.28722253,2089.120514
2015,1900.624461,27.68666185,11.06578553,9.856734197,1949.233643
2016,1808.86261,27.36981901,11.2283781,9.345120679,1856.805928
2017,1732.024827,25.85418344,11.42011403,9.096394835,1778.395519
2018,1752.84875,25.61138143,11.42232013,9.042660684,1798.925112